post_id,user_id,location,hashtags,likes_count,comment_count,created_at
3152506788494850561,35695055351,,"['#ReactReconciliation', '#ReactJS', '#WebDevelopment', '#FrontEndMagic', '#reactjs', '#reactjsofficial', '#javascriptdeveloper', '#reactinterview', '#trending']",676,9,1690028117.0
3142995308538959804,35695055351,,"['#ReactDevelopment', '#APIParallelism', '#OptimizedPerformance', '#reactjsofficial', '#reactjsdeveloper', '#reactjs', '#coding']",1767,25,1688894260.0
3027131337414705629,35695055351,,"['#learn', '#eslint', '#javascript', '#react', '#reactjs', '#typescript', '#nodejs', '#frontend', '#softwareengineering', '#webdeveloper', '#developer', '#programming', '#programmer', '#nextjs', '#html', '#webdev', '#css', '#javascripts', '#javascripttutorial', '#coder', '#python', '#coding', '#learntocode', '#vuejs', '#angularjs', '#angular', '#reactnative', '#cleancode', '#java', '#technology']",1125,22,1675082198.0
3014082136980218870,35695055351,,"['#reactjsofficial', '#programming', '#computerengineering', '#webdevelopment', '#computerscience', '#react', '#js', '#es6', '#frontend', '#api', '#learnreactjs', '#javascript', '#codingtips', '#reactjs', '#reactdeveloper', '#frontenddeveloper', '#nodejs', '#fullstackdeveloper', '#mean', '#mernstack']",3038,39,1673526624.0
3009734379150743069,35695055351,,"['#tech', '#technology', '#webdesign', '#website', '#development', '#programming', '#coding', '#python', '#developer', '#softwareengineer', '#programmers', '#codinglife', '#java', '#programminglife', '#react', '#frontend', '#webdev', '#frontendfriday', '#frontenddevelopment', '#frontendchallenge', '#frontenddeveloper', '#frontenddev', '#learntocode', '#angular', '#devlife', '#web', '#reactjsofficial']",694,4,1673008319.0
3000885657220349602,35695055351,,"['#reactjsofficial', '#christmas', '#merrychristmas', '#javascript', '#reactjs', '#python', '#coders']",146,0,1671953469.0
3362790464041939347,9202857852,,"['#css', '#css3', '#csstricks', '#css3code', '#flexbox', '#gradient', '#generator', '#animationcss', '#animation', '#javascript', '#uidesigner', '#uidesign', '#frontenddeveloper', '#frontenddevelopment', '#frontenddevelopers', '#uideveloper']",112,4,1715095885.0
3352647096342047699,9202857852,,"['#reactjs', '#reactjsdeveloper', '#uidesign', '#javascriptdeveloper', '#javascript', '#webdeveloper', '#webdevelopment', '#html5', '#css3', '#css3code', '#frontendwebdeveloper']",128,3,1713886701.0
3350475812494756873,9202857852,,"['#colorzilla', '#chrome', '#chromeextension', '#frontend', '#developer', '#javascript', '#css', '#css3', '#softwaredeveloper', '#software', '#javascripttutorial', '#100daysofcode', '#codingdays', '#developerlife', '#octotree', '#debug']",128,0,1713627863.0
3349743851432877005,9202857852,,"['#css', '#css3', '#bootstrap', '#bootsrap4', '#webdeveloper', '#tailwindcss', '#materialui', '#uidesign', '#webdesigner', '#foundation', '#framework', '#bulmacss', '#webdev', '#frontendwebdeveloper', '#javascript', '#html5', '#html']",115,2,1713540607.0
3348989713526974644,9202857852,,"['#fontdesign', '#font', '#fontawesome', '#googlefonts', '#uidesign', '#uideveloper', '#frontenddeveloper', '#frontenddev', '#adobefonts', '#bootstrap', '#bootstrap4', '#uidesigner', '#webdeveloper', '#reactdeveloper', '#vuejs', '#html5', '#css']",74,1,1713450707.0
3348270889395586818,9202857852,,"['#webdev', '#javascript', '#codingdays', '#frontend', '#html5', '#css', '#errorhandling', '#mern', '#webdesigner']",65,0,1713365016.0
3347543312910830193,9202857852,,"['#developerslife', '#codingdays', '#webdesign', '#frontend', '#webdevelopment', '#programmer', '#javascript', '#tech', '#wordpress']",49,2,1713280713.0
3346817882801288153,9202857852,,"['#programming', '#html', '#codinglife', '#webdesign', '#developerslife', '#frontend', '#codingdays', '#webdevelopment', '#programmer', '#html5', '#tech']",97,1,1713191804.0
3345376458583024634,9202857852,,"['#programming', '#developerslife', '#codingdays', '#webdesign', '#javascript', '#frontend', '#webdevelopment', '#coding', '#programmer', '#looping', '#html', '#html5']",77,2,1713019973.0
3344644698546979867,9202857852,,"['#programmer', '#codingdays', '#developerslife', '#webdesign', '#javascript', '#frontend', '#webdevelopment', '#html', '#coding', '#tech', '#htmlcss', '#learntocode']",53,0,1712932741.0
3343195106609584799,9202857852,,"['#programming', '#coding', '#programmer', '#html', '#webdevelopment', '#frontend', '#javascript', '#reactjs', '#flutter', '#nextjs', '#expressjs', '#jsquery', '#webdesign', '#codingdays', '#developerslife']",122,9,1712759936.0
2851822898438395961,9202857852,,"['#webdevelopment', '#webdev', '#webdeveloper', '#webdevelopers', '#javascript', '#backenddeveloper', '#web3', '#androiddeveloper', '#javasciptdeveloper', '#frontenddeveloper', '#htmlcoding', '#javadeveloper', '#html', '#reactjs', '#htmlcss', '#css', '#html5']",1138,54,1654183804.0
3075077572937980240,46646546574,,"['#codescientist', '#react', '#javascriptdev', '#javascriptframework', '#javascripttutorial', '#learnjavascript', '#visualstudio', '#androidapps', '#npm', '#androiddeveloper', '#iosdeveloper', '#opensource', '#frontend', '#codinglife', '#programmers', '#webdev', '#javascript', '#html', '#css', '#webdeveloper', '#php', '#developers', '#softwaredeveloper', '#websites', '#js', '#webdevelopment', '#learnreact', '#learnreactjs', '#learnjs', '#code']",360,15,1680797835.0
